Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00530922969443533,-9.54427782774664E-10,0.0424590353863738,0,0,0,0.235337478735073,0.0004268883293542,3.55599092214791E-12,-3.71756735718952E-06,0.000388960257655424,3.5130219794007E-12,0.000512654064251891,0,0,0,0,0,0,package://dummy_real_v3/meshes/base_link.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/base_link.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/BASE_LINK^jxb-wk-v7_asm-_jxb-wk-v7_asm-1,frame0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00727417588436838,0.00858231872334255,0.013378368944447,0,0,0,0.0580677769434733,1.40424233623952E-05,1.01824370712838E-06,1.61301333371733E-06,1.77023501193234E-05,4.55309910198845E-07,2.24916401315137E-05,0,0,0,0,0,0,package://dummy_real_v3/meshes/link1.STL,0.854901960784314,0.349019607843137,0.349019607843137,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link1.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J1-P1-100^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J1-P2^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;xw1_asm.stp-1,frame1,axis1,joint1,revolute,-0.000340196020443223,0,0.0819999999999999,0,0,0,base_link,0,0,-1,3,3,-3,3,,,,,,,,
link2,-0.000824136655185166,-0.101475729448957,-0.0285873328510396,0,0,0,0.532653803157237,0.00127151957983072,3.16499522127297E-05,2.26604492707342E-06,0.000286619783603363,-9.18747440144036E-07,0.00137486519509099,0,0,0,0,0,0,package://dummy_real_v3/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link2.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/WK-1-V4^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/WK-2-V4-CK^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/LINK2-DJ^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J23-105^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/LINK2-DJ^jxb-wk-v7_asm-_jxb-wk-v7_asm-2,frame2,axis2,joint2,revolute,-0.035,0.0194999999999999,0.0345,-1.5707963267949,0,0,link1,0,0,-1,3,3,-3,3,,,,,,,,
link3,0.0582477050339709,0.0100694671586189,-0.000116881848019139,0,0,0,0.203892843907049,0.000110786626804024,-9.63365893119795E-06,1.74520214886043E-05,0.000167661284757176,3.7943114152685E-06,0.000162730174644392,0,0,0,0,0,0,package://dummy_real_v3/meshes/link3.STL,0.854901960784314,0.349019607843137,0.349019607843137,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link3.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/LINK3^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/WK-3-DJ-V5^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;xw2_asm.stp-1,frame3,axis3,joint3,revolute,1.08500777998982E-05,-0.2009945749611,-0.014,0,0,0,link2,0,0,-1,3,3,-3,3,,,,,,,,
link4,0.000151394130845781,-0.00316138683917015,0.0894516362098563,0,0,0,0.195316195681008,0.000264849336427073,1.90670538490485E-07,1.34189144308529E-07,0.00026086985947404,-2.00279897565163E-05,7.70829382609287E-05,0,0,0,0,0,0,package://dummy_real_v3/meshes/link4.STL,0.854901960784314,0.349019607843137,0.349019607843137,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link4.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/LINK4^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J5-P2^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;xw3.stp-1,frame4,axis4,joint4,revolute,0.0599999999999971,-0.0215050042651967,-0.0019912233216972,1.5707963267949,0,0,link3,0,0,1,3,3,-3,3,,,,,,,,
link5,4.18496989203869E-05,0.0531120806631206,-0.0244911843420911,0,0,0,0.13451985055148,5.89904720803095E-05,1.90835646214316E-12,-3.44874056234405E-09,5.26518946126007E-05,-4.19288036578529E-07,6.06390991313602E-05,0,0,0,0,0,0,package://dummy_real_v3/meshes/link5.STL,0.854901960784314,0.349019607843137,0.349019607843137,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link5.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J6-P1-36951^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J6-P1-113^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/Z_1_XWK^jxb-wk-v7_asm-_jxb-wk-v7_asm-1,frame5,axis5,joint5,revolute,0,-0.0274999993896498,0.10652586267682,1.5707963267949,0,0,link4,0,0,-1,3,3,-3,3,,,,,,,,
link6,-7.15704231990522E-11,-0.00557266324183965,0.0805997468456355,0,0,0,0.159075855059689,6.63647316437247E-05,-1.41596221396415E-14,3.69445074532846E-13,6.67951688886097E-05,2.63614832357626E-06,5.83482258899856E-05,0,0,0,0,0,0,package://dummy_real_v3/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link6.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/ZHUAN-L-^jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J6-P1-113^jxb-wk-v7_asm-_jxb-wk-v7_asm-2;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/J6-P1-36951^jxb-wk-v7_asm-_jxb-wk-v7_asm-2,frame6,axis6,joint6,revolute,0,0.0754999999999758,-0.0285241372319494,-1.5707963267949,0,0,link5,0,0,-1,0,3,-3,3,,,,,,,,
link7,-3.2628760804343E-13,5.97168692800798E-07,0.00674485506613332,0,0,0,0.0730012394118658,0.000143023815553855,2.3727950354666E-08,2.56317031691755E-15,1.75139782233878E-05,1.16009104077106E-10,0.000158524488899376,0,0,0,0,0,0,package://dummy_real_v3/meshes/link7.STL,0.270588235294118,0.294117647058824,0.309803921568627,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link7.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/JIA-ZHUA_ASM^jxb-wk-v7_asm-_jxb-wk-v7_asm-1/DI-ZUO-V5^JIA-ZHUA_ASM_jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/JIA-ZHUA_ASM^jxb-wk-v7_asm-_jxb-wk-v7_asm-1/DAO-GUI-5X7X155^JIA-ZHUA_ASM_jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/JIA-ZHUA_ASM^jxb-wk-v7_asm-_jxb-wk-v7_asm-1/ZHUAN^JIA-ZHUA_ASM_jxb-wk-v7_asm-_jxb-wk-v7_asm-1,frame7,Axis_joint7,joint7,fixed,0,0.000149999389645419,0.1194999984068,0,0,0,link6,0,0,0,,,,,,,,,,,,
link8,0.000383623787000666,-0.00773418556885568,0.0191483730693133,0,0,0,0.0277487200693428,1.01052433994614E-05,4.34763531418752E-08,2.15424955071654E-07,1.35521961193831E-05,-1.60833234561139E-06,5.60883650981364E-06,0,0,0,0,0,0,package://dummy_real_v3/meshes/link8.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link8.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/JIA-ZHUA_ASM^jxb-wk-v7_asm-_jxb-wk-v7_asm-1/ZHUA^JIA-ZHUA_ASM_jxb-wk-v7_asm-_jxb-wk-v7_asm-1;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/JIA-ZHUA_ASM^jxb-wk-v7_asm-_jxb-wk-v7_asm-1/ZHOU-CHENG-6X17X22_5^JIA-ZHUA_ASM_jxb-wk-v7_asm-_jxb-wk-v7_asm-1,frame8,axis8,joint8,prismatic,0,-0.0238309999999988,0.0240000000292074,0,0,0,link7,0,1,0,3,3,-3,3,,,,,,,,
link9,-0.000383623787000624,0.00773418556885568,0.0191483730693133,0,0,0,0.0277487200693428,1.01052433994615E-05,4.34763531418713E-08,-2.15424955071637E-07,1.35521961193831E-05,1.60833234561137E-06,5.60883650981377E-06,0,0,0,0,0,0,package://dummy_real_v3/meshes/link9.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_real_v3/meshes/link9.STL,,jxb-wk-v7_asm-^jxb-wk-v7_asm-1/JIA-ZHUA_ASM^jxb-wk-v7_asm-_jxb-wk-v7_asm-1/ZHUA^JIA-ZHUA_ASM_jxb-wk-v7_asm-_jxb-wk-v7_asm-2;jxb-wk-v7_asm-^jxb-wk-v7_asm-1/JIA-ZHUA_ASM^jxb-wk-v7_asm-_jxb-wk-v7_asm-1/ZHOU-CHENG-6X17X22_5^JIA-ZHUA_ASM_jxb-wk-v7_asm-_jxb-wk-v7_asm-2,frame9,axis8,joint9,prismatic,0,0.0238310000000012,0.0240000000292074,0,0,0,link7,0,1,0,3,3,-3,3,,,,,,,,
